frame,images_centroid_x,images_centroid_y,images_delta_x,images_delta_y,images_distance,images2_centroid_x,images2_centroid_y,images2_delta_x,images2_delta_y,images2_distance,timestamp_s
148,18,16,-1,-1,1.414213562,15,16,0,1,1,7.4
149,18,17,0,1,1,15,16,0,0,0,7.45
150,17,17,-1,0,1,14,15,-1,-1,1.414213562,7.5
151,18,16,1,-1,1.414213562,15,15,1,0,1,7.55
152,18,16,0,0,0,15,16,0,1,1,7.6
153,18,16,0,0,0,15,14,0,-2,2,7.65
154,18,17,0,1,1,16,13,1,-1,1.414213562,7.7
155,19,16,1,-1,1.414213562,16,16,0,3,3,7.75
156,19,17,0,1,1,16,14,0,-2,2,7.8
157,15,15,-4,-2,4.472135955,15,14,-1,0,1,7.85
158,20,15,5,0,5,14,14,-1,0,1,7.9
159,19,18,-1,3,3.16227766,16,14,2,0,2,7.95
160,18,16,-1,-2,2.236067977,15,15,-1,1,1.414213562,8
161,17,14,-1,-2,2.236067977,14,14,-1,-1,1.414213562,8.05
162,18,15,1,1,1.414213562,16,17,2,3,3.605551275,8.1
163,18,15,0,0,0,15,14,-1,-3,3.16227766,8.15
164,18,15,0,0,0,16,16,1,2,2.236067977,8.2
165,17,16,-1,1,1.414213562,15,16,-1,0,1,8.25
166,16,16,-1,0,1,15,15,0,-1,1,8.3
167,16,16,0,0,0,16,15,1,0,1,8.35
168,17,15,1,-1,1.414213562,15,15,-1,0,1,8.4
169,16,16,-1,1,1.414213562,16,17,1,2,2.236067977,8.45
170,16,14,0,-2,2,15,15,-1,-2,2.236067977,8.5
171,16,15,0,1,1,16,16,1,1,1.414213562,8.55
172,16,13,0,-2,2,16,15,0,-1,1,8.6
173,19,14,3,1,3.16227766,14,16,-2,1,2.236067977,8.65
174,17,16,-2,2,2.828427125,16,16,2,0,2,8.7
175,17,16,0,0,0,16,18,0,2,2,8.75
176,17,17,0,1,1,16,17,0,-1,1,8.8
177,16,17,-1,0,1,16,18,0,1,1,8.85
178,15,17,-1,0,1,16,17,0,-1,1,8.9
179,17,18,2,1,2.236067977,15,16,-1,-1,1.414213562,8.95
180,16,16,-1,-2,2.236067977,16,17,1,1,1.414213562,9
181,17,15,1,-1,1.414213562,17,16,1,-1,1.414213562,9.05
182,17,15,0,0,0,16,16,-1,0,1,9.1
183,18,14,1,-1,1.414213562,16,15,0,-1,1,9.15
184,19,13,1,-1,1.414213562,16,16,0,1,1,9.2
185,16,18,-3,5,5.830951895,17,16,1,0,1,9.25
186,15,17,-1,-1,1.414213562,16,16,-1,0,1,9.3
187,16,17,1,0,1,15,15,-1,-1,1.414213562,9.35
188,16,17,0,0,0,17,16,2,1,2.236067977,9.4
189,,,,,,16,16,-1,0,1,9.45
190,16,17,0,0,0,16,17,0,1,1,9.5
191,16,16,0,-1,1,15,17,-1,0,1,9.55
192,16,17,0,1,1,15,17,0,0,0,9.6
193,23,4,7,-13,14.76482306,16,17,1,0,1,9.65
194,,,,,,15,17,-1,0,1,9.7
195,17,17,-6,13,14.31782106,15,16,0,-1,1,9.75
196,16,17,-1,0,1,16,18,1,2,2.236067977,9.8
197,16,16,0,-1,1,16,15,0,-3,3,9.85
198,16,17,0,1,1,16,17,0,2,2,9.9
199,16,19,0,2,2,15,17,-1,0,1,9.95
200,16,17,0,-2,2,15,18,0,1,1,10
201,15,18,-1,1,1.414213562,16,17,1,-1,1.414213562,10.05
202,16,18,1,0,1,15,16,-1,-1,1.414213562,10.1
203,17,17,1,-1,1.414213562,15,17,0,1,1,10.15
204,16,17,-1,0,1,15,16,0,-1,1,10.2
205,18,16,2,-1,2.236067977,16,18,1,2,2.236067977,10.25
206,16,18,-2,2,2.828427125,16,16,0,-2,2,10.3
207,18,16,2,-2,2.828427125,15,16,-1,0,1,10.35
208,17,17,-1,1,1.414213562,16,16,1,0,1,10.4
209,15,18,-2,1,2.236067977,15,17,-1,1,1.414213562,10.45
210,17,17,2,-1,2.236067977,16,16,1,-1,1.414213562,10.5
211,17,16,0,-1,1,15,17,-1,1,1.414213562,10.55
212,16,17,-1,1,1.414213562,15,16,0,-1,1,10.6
213,17,16,1,-1,1.414213562,14,16,-1,0,1,10.65
214,17,16,0,0,0,14,15,0,-1,1,10.7
215,17,17,0,1,1,14,17,0,2,2,10.75
216,16,17,-1,0,1,14,17,0,0,0,10.8
217,17,17,1,0,1,15,18,1,1,1.414213562,10.85
218,16,17,-1,0,1,15,18,0,0,0,10.9
219,17,17,1,0,1,14,16,-1,-2,2.236067977,10.95
220,16,16,-1,-1,1.414213562,15,16,1,0,1,11
221,17,17,1,1,1.414213562,15,15,0,-1,1,11.05
222,17,17,0,0,0,15,16,0,1,1,11.1
223,17,17,0,0,0,16,17,1,1,1.414213562,11.15
224,16,17,-1,0,1,17,16,1,-1,1.414213562,11.2
225,16,16,0,-1,1,16,17,-1,1,1.414213562,11.25
226,15,16,-1,0,1,15,17,-1,0,1,11.3
227,16,18,1,2,2.236067977,15,15,0,-2,2,11.35
228,15,17,-1,-1,1.414213562,15,17,0,2,2,11.4
229,15,16,0,-1,1,16,17,1,0,1,11.45
230,16,16,1,0,1,16,17,0,0,0,11.5
231,15,17,-1,1,1.414213562,15,17,-1,0,1,11.55
232,16,17,1,0,1,13,16,-2,-1,2.236067977,11.6
233,15,16,-1,-1,1.414213562,15,16,2,0,2,11.65
234,15,16,0,0,0,15,16,0,0,0,11.7
235,16,15,1,-1,1.414213562,16,18,1,2,2.236067977,11.75
236,16,16,0,1,1,15,16,-1,-2,2.236067977,11.8
237,16,16,0,0,0,15,17,0,1,1,11.85
238,16,17,0,1,1,17,16,2,-1,2.236067977,11.9
239,16,17,0,0,0,16,17,-1,1,1.414213562,11.95
240,16,17,0,0,0,19,17,3,0,3,12
241,,,,,,18,18,-1,1,1.414213562,12.05
242,17,19,1,2,2.236067977,17,18,-1,0,1,12.1
243,15,15,-2,-4,4.472135955,16,18,-1,0,1,12.15
244,16,17,1,2,2.236067977,16,18,0,0,0,12.2
245,15,16,-1,-1,1.414213562,16,18,0,0,0,12.25
246,17,16,2,0,2,16,18,0,0,0,12.3
247,16,17,-1,1,1.414213562,16,17,0,-1,1,12.35
248,17,17,1,0,1,17,19,1,2,2.236067977,12.4
249,17,18,0,1,1,17,17,0,-2,2,12.45
250,17,18,0,0,0,17,17,0,0,0,12.5
251,17,18,0,0,0,17,17,0,0,0,12.55
252,18,18,1,0,1,16,16,-1,-1,1.414213562,12.6
253,17,18,-1,0,1,16,18,0,2,2,12.65
254,17,18,0,0,0,16,16,0,-2,2,12.7
255,17,17,0,-1,1,17,16,1,0,1,12.75
256,18,19,1,2,2.236067977,17,17,0,1,1,12.8
257,18,18,0,-1,1,17,19,0,2,2,12.85
258,18,15,0,-3,3,16,18,-1,-1,1.414213562,12.9
259,17,17,-1,2,2.236067977,16,17,0,-1,1,12.95
260,18,17,1,0,1,16,17,0,0,0,13
261,20,16,2,-1,2.236067977,15,17,-1,0,1,13.05
262,17,17,-3,1,3.16227766,16,17,1,0,1,13.1
263,16,18,-1,1,1.414213562,15,17,-1,0,1,13.15
264,15,18,-1,0,1,15,17,0,0,0,13.2
265,16,17,1,-1,1.414213562,15,16,0,-1,1,13.25
266,16,18,0,1,1,15,17,0,1,1,13.3
267,15,17,-1,-1,1.414213562,17,17,2,0,2,13.35
268,23,4,8,-13,15.26433752,17,17,0,0,0,13.4
269,17,19,-6,15,16.15549442,,,,,,13.45
270,18,17,1,-2,2.236067977,16,17,-1,0,1,13.5
271,,,,,,17,16,1,-1,1.414213562,13.55
272,18,16,0,-1,1,17,16,0,0,0,13.6
273,17,16,-1,0,1,16,16,-1,0,1,13.65
274,17,17,0,1,1,16,16,0,0,0,13.7
